model,error_category,subrule,normalised_annotated_text,annotated_text,filename_stem,annotation_id,reviewer_name,archive
Llama 3.3 70B · 12 000 TPM,Abreviaturas,"Excepciones (desto/a/os, dello/a/os)",de ellas,de ellas,AGN_HospJesus_c474_leg267-2_exp024_7473-7537_10,4397,Arturo,agn_hospjesus
Llama 3.3 70B · 12 000 TPM,Abreviaturas,"Excepciones (desto/a/os, dello/a/os)",de ellas,de ellas,BnF_112_08,1896,Paloma,bnf_112
Llama 3.3 70B · 12 000 TPM,Abreviaturas,"Excepciones (desto/a/os, dello/a/os)",de ellas,de ellas,BnF_112_08,1897,Paloma,bnf_112
Llama 3.3 70B · 12 000 TPM,Abreviaturas,"Excepciones (desto/a/os, dello/a/os)",de ellas,de ellas,BnF_118_08,5620,Arturo,bnf_118
Llama 3.3 70B · 12 000 TPM,Abreviaturas,"Excepciones (desto/a/os, dello/a/os)",de ello,de ello,BnF_075_035,5346,Arturo,bnf_075
Llama 3.3 70B · 12 000 TPM,Abreviaturas,"Excepciones (desto/a/os, dello/a/os)",de ello,de ello,BnF_075_035,5347,Arturo,bnf_075
Llama 3.3 70B · 12 000 TPM,Abreviaturas,"Excepciones (desto/a/os, dello/a/os)",de ello,de ello,utblac_wbs_1433_duplicated_1,1609,Rodrigo,utblac_wbs
Llama 3.3 70B · 12 000 TPM,Abreviaturas,"Excepciones (desto/a/os, dello/a/os)",de ellos,de ellos,AGN_GralParte_v006_exp617_02,751,Rodrigo,agn_gralparte
Llama 3.3 70B · 12 000 TPM,Abreviaturas,"Excepciones (desto/a/os, dello/a/os)",de ellos,de ellos,AGN_Inquisicion_v1568A_exp152_fs115-116v_01,615,Rodrigo,agn_inquisicion
Llama 3.3 70B · 12 000 TPM,Abreviaturas,"Excepciones (desto/a/os, dello/a/os)",de ellos,de ellos,BP_CM_R481_016,5890,Arturo,bp_cm
Llama 3.3 70B · 12 000 TPM,Abreviaturas,"Excepciones (desto/a/os, dello/a/os)",de ellos,de ellos,BnF_075_026,5277,Arturo,bnf_075
Llama 3.3 70B · 12 000 TPM,Abreviaturas,"Excepciones (desto/a/os, dello/a/os)",de esta,de esta,AGN_AHHacienda_v268_exp046_02,1298,Paloma,agn_ahhacienda
Llama 3.3 70B · 12 000 TPM,Abreviaturas,"Excepciones (desto/a/os, dello/a/os)",de esta,de esta,AGN_AHHacienda_v268_exp046_02,1300,Paloma,agn_ahhacienda
Llama 3.3 70B · 12 000 TPM,Abreviaturas,"Excepciones (desto/a/os, dello/a/os)",de esta,de esta,AGN_AHHacienda_v268_exp046_02,1350,Paloma,agn_ahhacienda
Llama 3.3 70B · 12 000 TPM,Abreviaturas,"Excepciones (desto/a/os, dello/a/os)",de esta,de esta,AGN_GralParte_v006_exp617_02,413,Rodrigo,agn_gralparte
Llama 3.3 70B · 12 000 TPM,Abreviaturas,"Excepciones (desto/a/os, dello/a/os)",de esta,de esta,AGN_IndiferenteVirreinal_caja4071_exp024_1,572,Rodrigo,agn_indiferentevirreinal
Llama 3.3 70B · 12 000 TPM,Abreviaturas,"Excepciones (desto/a/os, dello/a/os)",de esta,de esta,AGN_IndiferenteVirreinal_caja4071_exp024_1,573,Rodrigo,agn_indiferentevirreinal
Llama 3.3 70B · 12 000 TPM,Abreviaturas,"Excepciones (desto/a/os, dello/a/os)",de esta,de esta,AGN_IndiferenteVirreinal_caja4071_exp024_1,574,Rodrigo,agn_indiferentevirreinal
Llama 3.3 70B · 12 000 TPM,Abreviaturas,"Excepciones (desto/a/os, dello/a/os)",de esta,de esta,AGN_IndiferenteVirreinal_caja4071_exp024_1,575,Rodrigo,agn_indiferentevirreinal
Llama 3.3 70B · 12 000 TPM,Abreviaturas,"Excepciones (desto/a/os, dello/a/os)",de esta,de esta,AGN_IndiferenteVirreinal_caja4071_exp024_1,576,Rodrigo,agn_indiferentevirreinal
Llama 3.3 70B · 12 000 TPM,Abreviaturas,"Excepciones (desto/a/os, dello/a/os)",de esta,de esta,AGN_Inquisicion_v1568A_exp152_fs115-116v_01,608,Rodrigo,agn_inquisicion
Llama 3.3 70B · 12 000 TPM,Abreviaturas,"Excepciones (desto/a/os, dello/a/os)",de esta,de esta,BnF_032_23,4823,Arturo,bnf_032
Llama 3.3 70B · 12 000 TPM,Abreviaturas,"Excepciones (desto/a/os, dello/a/os)",de esta,de esta,BnF_032_39,1598,Paloma,bnf_032
Llama 3.3 70B · 12 000 TPM,Abreviaturas,"Excepciones (desto/a/os, dello/a/os)",de esta,de esta,BnF_112_08,1889,Paloma,bnf_112
Llama 3.3 70B · 12 000 TPM,Abreviaturas,"Excepciones (desto/a/os, dello/a/os)",de esta,de esta,BnF_112_08,1890,Paloma,bnf_112
Llama 3.3 70B · 12 000 TPM,Abreviaturas,"Excepciones (desto/a/os, dello/a/os)",de esta,de esta,Mechoacan_Yurirapundaro_1,856,Adriana,mechoacan_yurirapundaro
Llama 3.3 70B · 12 000 TPM,Abreviaturas,"Excepciones (desto/a/os, dello/a/os)",de esta,de esta,Mechoacan_Yurirapundaro_1,857,Adriana,mechoacan_yurirapundaro
Llama 3.3 70B · 12 000 TPM,Abreviaturas,"Excepciones (desto/a/os, dello/a/os)",de esta,de esta,Mechoacan_Yurirapundaro_1,858,Adriana,mechoacan_yurirapundaro
Llama 3.3 70B · 12 000 TPM,Abreviaturas,"Excepciones (desto/a/os, dello/a/os)",de esta,de esta,UIA_Ms149_Exp2_51,5978,Arturo,uia_ms149
Llama 3.3 70B · 12 000 TPM,Abreviaturas,"Excepciones (desto/a/os, dello/a/os)",de esta,de esta,UIA_Ms149_Exp2_51,5979,Arturo,uia_ms149
Llama 3.3 70B · 12 000 TPM,Abreviaturas,"Excepciones (desto/a/os, dello/a/os)",de esta,de esta,UIA_Ms149_Exp2_51,5980,Arturo,uia_ms149
Llama 3.3 70B · 12 000 TPM,Abreviaturas,"Excepciones (desto/a/os, dello/a/os)",de esta,de esta,UIA_Ms149_Exp2_51,5981,Arturo,uia_ms149
Llama 3.3 70B · 12 000 TPM,Abreviaturas,"Excepciones (desto/a/os, dello/a/os)",de este,de este,AGN_AHHacienda_v268_exp046_02,1349,Paloma,agn_ahhacienda
Llama 3.3 70B · 12 000 TPM,Abreviaturas,"Excepciones (desto/a/os, dello/a/os)",de este,de este,AGN_GralParte_v001_exp1020_01,1366,Paloma,agn_gralparte
Llama 3.3 70B · 12 000 TPM,Abreviaturas,"Excepciones (desto/a/os, dello/a/os)",de este,de este,BnF_032_39,1627,Paloma,bnf_032
Llama 3.3 70B · 12 000 TPM,Abreviaturas,"Excepciones (desto/a/os, dello/a/os)",de este,de este,BnF_032_39,1628,Paloma,bnf_032
Llama 3.3 70B · 12 000 TPM,Abreviaturas,"Excepciones (desto/a/os, dello/a/os)",de este,de este,BnF_032_39,1629,Paloma,bnf_032
Llama 3.3 70B · 12 000 TPM,Abreviaturas,"Excepciones (desto/a/os, dello/a/os)",de este,de este,BnF_075_026,5243,Arturo,bnf_075
Llama 3.3 70B · 12 000 TPM,Abreviaturas,"Excepciones (desto/a/os, dello/a/os)",de este,de este,BnF_075_026,5244,Arturo,bnf_075
Llama 3.3 70B · 12 000 TPM,Abreviaturas,"Excepciones (desto/a/os, dello/a/os)",de este,de este,BnF_075_035,5335,Arturo,bnf_075
Llama 3.3 70B · 12 000 TPM,Abreviaturas,"Excepciones (desto/a/os, dello/a/os)",de este,de este,BnF_075_035,5336,Arturo,bnf_075
Llama 3.3 70B · 12 000 TPM,Abreviaturas,"Excepciones (desto/a/os, dello/a/os)",de este,de este,BnF_075_035,5337,Arturo,bnf_075
Llama 3.3 70B · 12 000 TPM,Abreviaturas,"Excepciones (desto/a/os, dello/a/os)",de este,de este,BnF_112_08,1911,Paloma,bnf_112
Llama 3.3 70B · 12 000 TPM,Abreviaturas,"Excepciones (desto/a/os, dello/a/os)",de este,de este,utblac_wbs_0912a_duplicated,6081,Arturo,utblac_wbs
Llama 3.3 70B · 12 000 TPM,Abreviaturas,"Excepciones (desto/a/os, dello/a/os)",de estos,de estos,AGI_INDIFERENTE_1529_N8_06,684,Rodrigo,agi_indiferente
Llama 3.3 70B · 12 000 TPM,Abreviaturas,"Excepciones (desto/a/os, dello/a/os)",de estos,de estos,Mechoacan_Yurirapundaro_1,865,Adriana,mechoacan_yurirapundaro
Llama 3.3 70B · 12 000 TPM,Abreviaturas,"Excepciones (desto/a/os, dello/a/os)",de estos,de estos,Mechoacan_Yurirapundaro_1,866,Adriana,mechoacan_yurirapundaro
Llama 3.3 70B · 12 000 TPM,Abreviaturas,"Excepciones (desto/a/os, dello/a/os)",della,della,AMP_AC_v021__doc026_2,970,Alba,amp_ac
Llama 3.3 70B · 12 000 TPM,Abreviaturas,"Excepciones (desto/a/os, dello/a/os)",della,della,BNE_ms3047_3,1080,Javier,bne_ms3047
Llama 3.3 70B · 12 000 TPM,Abreviaturas,"Excepciones (desto/a/os, dello/a/os)",della,della,BnF_111_27,1126,Alba,bnf_111
Llama 3.3 70B · 12 000 TPM,Abreviaturas,"Excepciones (desto/a/os, dello/a/os)",della,della,BnF_111_27,1127,Alba,bnf_111
GPT OSS 120B · 8 000 TPM,Abreviaturas,"Excepciones (desto/a/os, dello/a/os)",desta,desta,AGI_PATRONATO_182_R3_01,56,Alba,agi_patronato
