model,filename_stem,archive,reviewer_name,annotation_id,annotated_text,normalised_annotated_form,effective_error_category,effective_subrule,modernised_start,modernised_end,modernised_context,approximate_source_start,approximate_source_end,approximate_source_context,document_alignment_ratio,context_status,modernised_txt_path,pre_modernisation_txt_path
GPT OSS 120B · 8 000 TPM,AGI_CONTRATACION_1091_N3_098,agi_contratacion,Javier,1237,quinta,quinta,Cambios,Sustitución,24,30,Por lo que suma la plana [[de at]] rás 504 y 978 N°. 55_ • Un cajón tosco número quinta y cinco con lo sigue + doce espejos de número diez a…,24,30,Por lo que suma la plana [[de at]] ras 504 U 978 N°. 55_ • Un caxon tosco numo çinqta y çinco con lo siguie + doçe espejos de numo diez a di…,0.7878433664523671,ok_approximate_source_alignment,intermediate/extracted_exports/reviewer_packet_1/01_ANNOTATOR_2026-07-30T23_50_46_923Z_data_export/data_ANN_export_anotations/ANN_Documents/AGI_CONTRATACION_1091_N3_098_GT_moderno.txt,raw/evaluacion_modernizador/modernisation_reviewer_1_packet/AGI_CONTRATACION_1091_N3_098/AGI_CONTRATACION_1091_N3_098_GT.txt
GPT OSS 120B · 8 000 TPM,AGI_CONTRATACION_1091_N3_098,agi_contratacion,Javier,1238,sigue,sigue,Abreviaturas,Expansión completa,46,51,Por lo que suma la plana de atrás 504 y 978 N° [[. 55_]] • Un cajón tosco número quinta y cinco con lo sigue + doce espejos de número diez a diez reales 4 y 080…,46,51,Por lo que suma la plana de atras 504 U 978 N° [[. 55_]] • Un caxon tosco numo çinqta y çinco con lo siguie + doçe espejos de numo diez a diez rreales 4 U 080 +…,0.7878433664523671,ok_approximate_source_alignment,intermediate/extracted_exports/reviewer_packet_1/01_ANNOTATOR_2026-07-30T23_50_46_923Z_data_export/data_ANN_export_anotations/ANN_Documents/AGI_CONTRATACION_1091_N3_098_GT_moderno.txt,raw/evaluacion_modernizador/modernisation_reviewer_1_packet/AGI_CONTRATACION_1091_N3_098/AGI_CONTRATACION_1091_N3_098_GT.txt
GPT OSS 120B · 8 000 TPM,AGI_CONTRATACION_1091_N3_098,agi_contratacion,Javier,1239,Rs,rs,Abreviaturas,Expansión completa,49,51,Por lo que suma la plana de atrás 504 y 978 N°. 5 [[5_]] • Un cajón tosco número quinta y cinco con lo sigue + doce espejos de número diez a diez reales 4 y 080…,49,51,Por lo que suma la plana de atras 504 U 978 N°. 5 [[5_]] • Un caxon tosco numo çinqta y çinco con lo siguie + doçe espejos de numo diez a diez rreales 4 U 080 +…,0.7878433664523671,ok_approximate_source_alignment,intermediate/extracted_exports/reviewer_packet_1/01_ANNOTATOR_2026-07-30T23_50_46_923Z_data_export/data_ANN_export_anotations/ANN_Documents/AGI_CONTRATACION_1091_N3_098_GT_moderno.txt,raw/evaluacion_modernizador/modernisation_reviewer_1_packet/AGI_CONTRATACION_1091_N3_098/AGI_CONTRATACION_1091_N3_098_GT.txt
GPT OSS 120B · 8 000 TPM,AGI_CONTRATACION_1091_N3_098,agi_contratacion,Javier,1240,mo,mo,Abreviaturas,Expansión completa,54,56,Por lo que suma la plana de atrás 504 y 978 N°. 55_ • [[Un]] cajón tosco número quinta y cinco con lo sigue + doce espejos de número diez a diez reales 4 y 080 + ve…,54,56,Por lo que suma la plana de atras 504 U 978 N°. 55_ • [[Un]] caxon tosco numo çinqta y çinco con lo siguie + doçe espejos de numo diez a diez rreales 4 U 080 + vein…,0.7878433664523671,ok_approximate_source_alignment,intermediate/extracted_exports/reviewer_packet_1/01_ANNOTATOR_2026-07-30T23_50_46_923Z_data_export/data_ANN_export_anotations/ANN_Documents/AGI_CONTRATACION_1091_N3_098_GT_moderno.txt,raw/evaluacion_modernizador/modernisation_reviewer_1_packet/AGI_CONTRATACION_1091_N3_098/AGI_CONTRATACION_1091_N3_098_GT.txt
GPT OSS 120B · 8 000 TPM,AGI_CONTRATACION_1091_N3_098,agi_contratacion,Javier,1242,mil,mil,Cambios,Deleción,44,47,Por lo que suma la plana de atrás 504 y 978 [[N°.]] 55_ • Un cajón tosco número quinta y cinco con lo sigue + doce espejos de número diez a diez reales 4 y…,44,47,Por lo que suma la plana de atras 504 U 978 [[N°.]] 55_ • Un caxon tosco numo çinqta y çinco con lo siguie + doçe espejos de numo diez a diez rreales 4 U 0…,0.7878433664523671,ok_approximate_source_alignment,intermediate/extracted_exports/reviewer_packet_1/01_ANNOTATOR_2026-07-30T23_50_46_923Z_data_export/data_ANN_export_anotations/ANN_Documents/AGI_CONTRATACION_1091_N3_098_GT_moderno.txt,raw/evaluacion_modernizador/modernisation_reviewer_1_packet/AGI_CONTRATACION_1091_N3_098/AGI_CONTRATACION_1091_N3_098_GT.txt
GPT OSS 120B · 8 000 TPM,AGI_CONTRATACION_1091_N3_098,agi_contratacion,Javier,1249,qo,qo,Abreviaturas,Expansión completa,55,57,Por lo que suma la plana de atrás 504 y 978 N°. 55_ • U [[n]] cajón tosco número quinta y cinco con lo sigue + doce espejos de número diez a diez reales 4 y 080 + vei…,55,57,Por lo que suma la plana de atras 504 U 978 N°. 55_ • U [[n]] caxon tosco numo çinqta y çinco con lo siguie + doçe espejos de numo diez a diez rreales 4 U 080 + veint…,0.7878433664523671,ok_approximate_source_alignment,intermediate/extracted_exports/reviewer_packet_1/01_ANNOTATOR_2026-07-30T23_50_46_923Z_data_export/data_ANN_export_anotations/ANN_Documents/AGI_CONTRATACION_1091_N3_098_GT_moderno.txt,raw/evaluacion_modernizador/modernisation_reviewer_1_packet/AGI_CONTRATACION_1091_N3_098/AGI_CONTRATACION_1091_N3_098_GT.txt
GPT OSS 120B · 8 000 TPM,AGI_CONTRATACION_1091_N3_098,agi_contratacion,Javier,1250,ms,ms,Abreviaturas,Expansión completa,68,70,Por lo que suma la plana de atrás 504 y 978 N°. 55_ • Un cajón tosco [[n]] úmero quinta y cinco con lo sigue + doce espejos de número diez a diez reales 4 y 080 + veinte y cuatro…,69,71,Por lo que suma la plana de atras 504 U 978 N°. 55_ • Un caxon tosco [[nu]] mo çinqta y çinco con lo siguie + doçe espejos de numo diez a diez rreales 4 U 080 + veinte y quatro esp…,0.7878433664523671,ok_approximate_source_alignment,intermediate/extracted_exports/reviewer_packet_1/01_ANNOTATOR_2026-07-30T23_50_46_923Z_data_export/data_ANN_export_anotations/ANN_Documents/AGI_CONTRATACION_1091_N3_098_GT_moderno.txt,raw/evaluacion_modernizador/modernisation_reviewer_1_packet/AGI_CONTRATACION_1091_N3_098/AGI_CONTRATACION_1091_N3_098_GT.txt
GPT OSS 120B · 8 000 TPM,AGI_CONTRATACION_1091_N3_098,agi_contratacion,Javier,1251,consdo,consdo,Abreviaturas,Expansión completa,0,6,[[Por lo]] que suma la plana de atrás 504 y 978 N°. 55_ • Un cajón tosco número quinta y cinco con lo sigue + doce…,0,6,[[Por lo]] que suma la plana de atras 504 U 978 N°. 55_ • Un caxon tosco numo çinqta y çinco con lo siguie + doçe e…,0.7878433664523671,ok_approximate_source_alignment,intermediate/extracted_exports/reviewer_packet_1/01_ANNOTATOR_2026-07-30T23_50_46_923Z_data_export/data_ANN_export_anotations/ANN_Documents/AGI_CONTRATACION_1091_N3_098_GT_moderno.txt,raw/evaluacion_modernizador/modernisation_reviewer_1_packet/AGI_CONTRATACION_1091_N3_098/AGI_CONTRATACION_1091_N3_098_GT.txt
Llama 3.3 70B · 12 000 TPM,AGI_PATRONATO_182_R3_03,agi_patronato,Javier,934,gobierno,gobierno,Cambios,Sustitución,2,10,"y [[gobierno]] de la nueva Galicia y asimismo, ahora nuevamente ha venido a nuestra noticia que, habiendo Vuestra Altez…",2,24,y [[governaçion de la nueb]] a galizia y ansimysmo agora nuebamente a venido a nuestra notiçia que aviendo vra aLa y en vuestro nonb…,0.017055988134964777,ok_approximate_source_alignment,intermediate/extracted_exports/reviewer_packet_1/01_ANNOTATOR_2026-07-30T23_50_46_923Z_data_export/data_ANN_export_anotations/ANN_Documents/AGI_PATRONATO_182_R3_03_GT_moderno.txt,raw/evaluacion_modernizador/modernisation_reviewer_1_packet/AGI_PATRONATO_182_R3_03/AGI_PATRONATO_182_R3_03_GT.txt
Llama 3.3 70B · 12 000 TPM,AGI_PATRONATO_182_R3_03,agi_patronato,Javier,936,con sí,con sí,Cambios,Sustitución,610,616,"…strando y haciendo justicia, un juez de juzgado, uso de la ciudad de México, con mano armada y gente que [[con sí]] trajo, alzó vara de justicia en las dichas minas nuevas, y con color que dio para ejecutar su intento, d…",51,52,y governaçion de la nueba galizia y ansimysmo agor [[a]] nuebamente a venido a nuestra notiçia que aviendo vra aLa y en vuestro nonbre vra abdiençia deste dho…,0.017055988134964777,ok_approximate_source_alignment,intermediate/extracted_exports/reviewer_packet_1/01_ANNOTATOR_2026-07-30T23_50_46_923Z_data_export/data_ANN_export_anotations/ANN_Documents/AGI_PATRONATO_182_R3_03_GT_moderno.txt,raw/evaluacion_modernizador/modernisation_reviewer_1_packet/AGI_PATRONATO_182_R3_03/AGI_PATRONATO_182_R3_03_GT.txt
GPT OSS 120B · 8 000 TPM,AGN_AHHacienda_v1292_exp135,agn_ahhacienda,Javier,1252,cientos,cientos,Cambios,Sustitución,41,48,• Don Alonso de Oñate • En veinte y cuatr [[o de oc]] tubre de mil y cientos Y noventa y ocho años se hace cargo al Teso Juan de Aranda de mil y cientos y siet…,34,34,• don alonso de oñate • En vte y [[]] quatro de oTue de mill y quios Y noventa y ocho años se haze cargo al Thesso Joan de aranda de mill y qui…,0.2900452488687783,ok_approximate_source_alignment,intermediate/extracted_exports/reviewer_packet_1/01_ANNOTATOR_2026-07-30T23_50_46_923Z_data_export/data_ANN_export_anotations/ANN_Documents/AGN_AHHacienda_v1292_exp135_GT_moderno.txt,raw/evaluacion_modernizador/modernisation_reviewer_1_packet/AGN_AHHacienda_v1292_exp135/AGN_AHHacienda_v1292_exp135_GT.txt
GPT OSS 120B · 8 000 TPM,AGN_AHHacienda_v1292_exp135,agn_ahhacienda,Javier,1252,cientos,cientos,Abreviaturas,Expansión completa,41,48,• Don Alonso de Oñate • En veinte y cuatr [[o de oc]] tubre de mil y cientos Y noventa y ocho años se hace cargo al Teso Juan de Aranda de mil y cientos y siet…,34,34,• don alonso de oñate • En vte y [[]] quatro de oTue de mill y quios Y noventa y ocho años se haze cargo al Thesso Joan de aranda de mill y qui…,0.2900452488687783,ok_approximate_source_alignment,intermediate/extracted_exports/reviewer_packet_1/01_ANNOTATOR_2026-07-30T23_50_46_923Z_data_export/data_ANN_export_anotations/ANN_Documents/AGN_AHHacienda_v1292_exp135_GT_moderno.txt,raw/evaluacion_modernizador/modernisation_reviewer_1_packet/AGN_AHHacienda_v1292_exp135/AGN_AHHacienda_v1292_exp135_GT.txt
