review_flag_number,annotation_rate_rank,filename_stem,model,archive,reviewer_packet,reviewer_name,n_modernised_tokens,n_included_annotations,n_included_assignments,included_annotations_per_1000_tokens,dominant_error_category,dominant_subrule,document_family,reviewed_documents_in_family,repeated_document_family,high_annotation_count,high_annotation_rate,selected_for_review,selection_reason
1,1,BnF_267_23,Llama 3.3 70B · 12 000 TPM,bnf_267,2,Paco,226,83,85,367.2566371681416,Abreviaturas,Abreviaturas — Expansión completa,BnF_267_23,1,False,True,True,True,highest 10% by count and rate
2,2,BnF_267_03,Llama 3.3 70B · 12 000 TPM,bnf_267,2,Paco,227,79,79,348.01762114537445,Abreviaturas,Abreviaturas — Expansión completa,BnF_267_03,1,False,True,True,True,highest 10% by count and rate
3,3,BnF_032_15,GPT OSS 120B · 8 000 TPM,bnf_032,8,Flor,12,4,5,333.3333333333333,Abreviaturas,Abreviaturas — Expansión completa,BnF_032_15,1,False,False,True,True,highest 10% by rate
4,4,BnF_032_36,GPT OSS 120B · 8 000 TPM,bnf_032,2,Paco,303,99,105,326.7326732673268,Abreviaturas,Abreviaturas — Expansión completa,BnF_032_36,1,False,True,True,True,highest 10% by count and rate
5,5,AGN_GralParte_v006_exp617_01,GPT OSS 120B · 8 000 TPM,agn_gralparte,9,Rodrigo,459,141,168,307.18954248366015,Cambios,Cambios — Otros,AGN_GralParte_v006_exp617_01,1,False,True,True,True,highest 10% by count and rate
6,6,AGN_Inquisicion_v1570A_exp134_fs159-160v_04,GPT OSS 120B · 8 000 TPM,agn_inquisicion,8,Flor,10,3,3,300.0,Abreviaturas,Abreviaturas — No sub-rule assigned,AGN_Inquisicion_v1570A_exp134_fs159-160v_04,1,False,False,True,True,highest 10% by rate
7,7,BnF_112_02,GPT OSS 120B · 8 000 TPM,bnf_112,4,Arturo,290,86,108,296.551724137931,Abreviaturas,Abreviaturas — Expansión completa,BnF_112_02,1,False,True,True,True,highest 10% by count and rate
8,8,BnF_113_22,GPT OSS 120B · 8 000 TPM,bnf_113,7,Paloma,350,88,94,251.42857142857144,Filológicas - instrucciones,Filológicas - mecánicas — Regularización de sibilantes,BnF_113_22,1,False,True,True,True,highest 10% by count and rate
9,9,AGI_INDIFERENTE_2065_N45_09,GPT OSS 120B · 8 000 TPM,agi_indiferente,9,Rodrigo,191,46,52,240.83769633507853,Cambios,Cambios — Sustitución,AGI_INDIFERENTE_2065_N45_09,1,False,False,True,True,highest 10% by rate
10,10,AGN_Mercedes_v003_exp520,GPT OSS 120B · 8 000 TPM,agn_mercedes,6,Alba,455,109,122,239.5604395604396,Abreviaturas,Acentuación — No sub-rule assigned,AGN_Mercedes_v003_exp520,1,False,True,True,True,highest 10% by count and rate
11,11,BnF_112_04,GPT OSS 120B · 8 000 TPM,bnf_112,7,Paloma,277,66,72,238.26714801444044,Filológicas - instrucciones,Puntuación — Punto (.),BnF_112_04,1,False,True,True,True,highest 10% by count and rate
12,12,BnF_111_20,GPT OSS 120B · 8 000 TPM,bnf_111,8,Flor,459,109,115,237.4727668845316,Filológicas - instrucciones,Abreviaturas — Expansión completa,BnF_111_20,1,False,True,True,True,highest 10% by count and rate
13,13,BnF_075_026,Llama 3.3 70B · 12 000 TPM,bnf_075,4,Arturo,202,46,50,227.72277227722773,Cambios,Cambios — No sub-rule assigned,BnF_075_026,1,False,False,True,True,highest 10% by rate
14,14,AGI_CONTRATACION_1183_N8_78,GPT OSS 120B · 8 000 TPM,agi_contratacion,3,Adriana,137,30,30,218.97810218978103,Filológicas - instrucciones,Filológicas - instrucciones — x sibilante → j,AGI_CONTRATACION_1183_N8_78,1,False,False,True,True,highest 10% by rate
15,15,AGN_AHHacienda_v268_exp046_01,GPT OSS 120B · 8 000 TPM,agn_ahhacienda,3,Adriana,172,36,36,209.30232558139537,Abreviaturas,Abreviaturas — Expansión completa,AGN_AHHacienda_v268_exp046_01,1,False,False,True,True,highest 10% by rate
16,16,BnF_104_2,GPT OSS 120B · 8 000 TPM,bnf_104,2,Paco,328,68,88,207.3170731707317,Cambios,Cambios — Sustitución,BnF_104_2,1,False,True,True,True,highest 10% by count and rate
17,17,BNE_ms3047_1,GPT OSS 120B · 8 000 TPM,bne_ms3047,9,Rodrigo,513,103,113,200.77972709551656,Cambios,Abreviaturas — Expansión completa,BNE_ms3047_1,1,False,True,True,True,highest 10% by count and rate
18,18,BnF_112_23,GPT OSS 120B · 8 000 TPM,bnf_112,5,Edna,390,77,81,197.43589743589743,Filológicas - instrucciones,Abreviaturas — No sub-rule assigned,BnF_112_23,1,False,True,True,True,highest 10% by count and rate
19,31,AGN_Indios_v019_exp354_2,GPT OSS 120B · 8 000 TPM,agn_indios,6,Alba,559,87,90,155.6350626118068,Abreviaturas,Abreviaturas — Expansión completa,AGN_Indios_v019_exp354_2,1,False,True,False,True,highest 10% by count
20,35,BnF_032_23,Llama 3.3 70B · 12 000 TPM,bnf_032,4,Arturo,648,100,103,154.320987654321,Puntuación,"Puntuación — Coma (,)",BnF_032_23,1,False,True,False,True,highest 10% by count
21,38,AGN_RealesCedDup_v030_exp874,GPT OSS 120B · 8 000 TPM,agn_realesceddup,6,Alba,644,95,105,147.51552795031057,Abreviaturas,Abreviaturas — No sub-rule assigned,AGN_RealesCedDup_v030_exp874,1,False,True,False,True,highest 10% by count
22,41,BnF_174_03,Llama 3.3 70B · 12 000 TPM,bnf_174,4,Arturo,701,96,104,136.9472182596291,Puntuación,"Puntuación — Coma (,)",BnF_174_03,1,False,True,False,True,highest 10% by count
23,57,BnF_266_05,Llama 3.3 70B · 12 000 TPM,bnf_266,3,Adriana,884,100,192,113.12217194570135,Cambios,Cambios — Sustitución,BnF_266_05,1,False,True,False,True,highest 10% by count
24,81,BnF_264_03,Llama 3.3 70B · 12 000 TPM,bnf_264,3,Adriana,955,74,79,77.4869109947644,Abreviaturas,Abreviaturas — Expansión completa,BnF_264_03,1,False,True,False,True,highest 10% by count
