model,filename_stem,archive,reviewer_name,annotation_id,annotated_text,normalised_annotated_text,effective_error_category,effective_subrule,start,end,modernised_context,modernised_txt_path,pre_modernisation_txt_path,distinct_annotations,affected_documents,affected_archives,affected_reviewers,cross_context_prompt_candidate
Llama 3.3 70B · 12 000 TPM,AGI_INDIFERENTE_1529_N36_07,agi_indiferente,Rodrigo,699,y,y,Cambios,Sustitución,689,690,"…pec, santa maría asunción, yzcatepec. son pueblecitos todos estos que están por quebradas [[y]] montes sin policía y podrían congregarse en sus cabeceras o llanos donde pudiesen ser vis…",intermediate/extracted_exports/reviewer_packet_9/01_ANNOTATOR_2026-07-29T15_35_20_792Z_data_export/data_ANN_export_anotations/ANN_Documents/AGI_INDIFERENTE_1529_N36_07_GT_moderno.txt,raw/evaluacion_modernizador/modernisation_reviewer_9_packet/AGI_INDIFERENTE_1529_N36_07/AGI_INDIFERENTE_1529_N36_07_GT.txt,82,18,13,6,True
Llama 3.3 70B · 12 000 TPM,AGI_INDIFERENTE_1529_N36_07,agi_indiferente,Rodrigo,703,y,y,Cambios,Sustitución,899,900,…as estas que tienen a dos y a tres indios y la más poblada no pasa de veinte. la doctrina [[y]] visita que tienen es de estas minas en que hay dos clérigos que cada mes por su turno sal…,intermediate/extracted_exports/reviewer_packet_9/01_ANNOTATOR_2026-07-29T15_35_20_792Z_data_export/data_ANN_export_anotations/ANN_Documents/AGI_INDIFERENTE_1529_N36_07_GT_moderno.txt,raw/evaluacion_modernizador/modernisation_reviewer_9_packet/AGI_INDIFERENTE_1529_N36_07/AGI_INDIFERENTE_1529_N36_07_GT.txt,82,18,13,6,True
Llama 3.3 70B · 12 000 TPM,AGI_INDIFERENTE_1529_N8_06,agi_indiferente,Rodrigo,663,y,y,Cambios,Sustitución,176,177,"…r los frutos de la tierra. En abundancia y en tres años que he residido aquí, lo he visto [[y]] experimentado. Y se tiene por los indios naturales de estos pueblos por especial providen…",intermediate/extracted_exports/reviewer_packet_9/01_ANNOTATOR_2026-07-29T15_35_20_792Z_data_export/data_ANN_export_anotations/ANN_Documents/AGI_INDIFERENTE_1529_N8_06_GT_moderno.txt,raw/evaluacion_modernizador/modernisation_reviewer_9_packet/AGI_INDIFERENTE_1529_N8_06/AGI_INDIFERENTE_1529_N8_06_GT.txt,82,18,13,6,True
Llama 3.3 70B · 12 000 TPM,AGI_INDIFERENTE_1529_N8_06,agi_indiferente,Rodrigo,679,y,y,Cambios,Sustitución,1901,1902,"…otras legumbres silvestres y no conocidas en nuestra España. Esta agua miel es medicinal [[y]] purgativa, y aun los españoles la tienen por de mucha sustancia. 5. Es tierra de poca gen…",intermediate/extracted_exports/reviewer_packet_9/01_ANNOTATOR_2026-07-29T15_35_20_792Z_data_export/data_ANN_export_anotations/ANN_Documents/AGI_INDIFERENTE_1529_N8_06_GT_moderno.txt,raw/evaluacion_modernizador/modernisation_reviewer_9_packet/AGI_INDIFERENTE_1529_N8_06/AGI_INDIFERENTE_1529_N8_06_GT.txt,82,18,13,6,True
Llama 3.3 70B · 12 000 TPM,AGN_HospJesus_c474_leg267-2_exp024_7473-7537_02,agn_hospjesus,Paco,2408,y,y,Cambios,Sustitución,1430,1431,"…dicha villa, les habían tomado ciertas casas, estancias y tierras, y términos por fuerza [[y]] contra su voluntad. Por tanto, que nos pedían y suplicaban se lo mandásemos todo volver y…",intermediate/extracted_exports/reviewer_packet_2/01_ANNOTATOR_2026-08-05T15_17_51_488Z_data_export/data_ANN_export_anotations/ANN_Documents/AGN_HospJesus_c474_leg267-2_exp024_7473-7537_02_GT_moderno.txt,raw/evaluacion_modernizador/modernisation_reviewer_2_packet/AGN_HospJesus_c474_leg267-2_exp024_7473-7537_02/AGN_HospJesus_c474_leg267-2_exp024_7473-7537_02_GT.txt,82,18,13,6,True
Llama 3.3 70B · 12 000 TPM,AGN_HospJesus_c474_leg267-2_exp024_7473-7537_02,agn_hospjesus,Paco,2412,y,y,Cambios,Sustitución,1596,1597,"…s todo volver y restituir, y pidieron justicia, lo cual por los dichos nuestro presidente [[y]] oidores, visto, dieron su mandamiento y comisión, dirigido a Franco Muñoz, intérprete que…",intermediate/extracted_exports/reviewer_packet_2/01_ANNOTATOR_2026-08-05T15_17_51_488Z_data_export/data_ANN_export_anotations/ANN_Documents/AGN_HospJesus_c474_leg267-2_exp024_7473-7537_02_GT_moderno.txt,raw/evaluacion_modernizador/modernisation_reviewer_2_packet/AGN_HospJesus_c474_leg267-2_exp024_7473-7537_02/AGN_HospJesus_c474_leg267-2_exp024_7473-7537_02_GT.txt,82,18,13,6,True
Llama 3.3 70B · 12 000 TPM,BnF_032_33,bnf_032,Adriana,236,y,y,Cambios,Sustitución,102,103,…a dicha pintura que sentó el dicho Alonso Gos declaradas que no había allí casa ni maguey [[y]] que don Juo gobernador que al sentó hera de Tlacotepec les mandó que todos hicieran casas…,intermediate/extracted_exports/reviewer_packet_3/01_ANNOTATOR_2026-07-29T19_32_36_106Z_data_export/data_ANN_export_anotations/ANN_Documents/BnF_032_33_GT_moderno.txt,raw/evaluacion_modernizador/modernisation_reviewer_3_packet/BnF_032_33/BnF_032_33_GT.txt,82,18,13,6,True
Llama 3.3 70B · 12 000 TPM,BnF_075_026,bnf_075,Arturo,5271,y,y,Cambios,Sustitución,26,27,"los dichos Alejandro Báez [[y]] los demás han sido desterrados de este dicho pueblo, y sabe que por conseguir su mala int…",intermediate/extracted_exports/reviewer_packet_4/01_ANNOTATOR_2026-07-31T19_55_33_452Z_data_export/data_ANN_export_anotations/ANN_Documents/BnF_075_026_GT_moderno.txt,raw/evaluacion_modernizador/modernisation_reviewer_4_packet/BnF_075_026/BnF_075_026_GT.txt,82,18,13,6,True
Llama 3.3 70B · 12 000 TPM,BnF_075_026,bnf_075,Arturo,5272,y,y,Cambios,Sustitución,81,82,"los dichos Alejandro Báez y los demás han sido desterrados de este dicho pueblo, [[y]] sabe que por conseguir su mala intención y por no querer obedecer a la justicia y a sus m…",intermediate/extracted_exports/reviewer_packet_4/01_ANNOTATOR_2026-07-31T19_55_33_452Z_data_export/data_ANN_export_anotations/ANN_Documents/BnF_075_026_GT_moderno.txt,raw/evaluacion_modernizador/modernisation_reviewer_4_packet/BnF_075_026/BnF_075_026_GT.txt,82,18,13,6,True
Llama 3.3 70B · 12 000 TPM,BnF_075_026,bnf_075,Arturo,5273,y,y,Cambios,Sustitución,124,125,"…más han sido desterrados de este dicho pueblo, y sabe que por conseguir su mala intención [[y]] por no querer obedecer a la justicia y a sus mayores, andan alzados y levantados, y de el…",intermediate/extracted_exports/reviewer_packet_4/01_ANNOTATOR_2026-07-31T19_55_33_452Z_data_export/data_ANN_export_anotations/ANN_Documents/BnF_075_026_GT_moderno.txt,raw/evaluacion_modernizador/modernisation_reviewer_4_packet/BnF_075_026/BnF_075_026_GT.txt,82,18,13,6,True
Llama 3.3 70B · 12 000 TPM,BnF_075_026,bnf_075,Arturo,5275,y,y,Cambios,Sustitución,163,164,"…pueblo, y sabe que por conseguir su mala intención y por no querer obedecer a la justicia [[y]] a sus mayores, andan alzados y levantados, y de ellos, el día de hoy, hay muchas quejas d…",intermediate/extracted_exports/reviewer_packet_4/01_ANNOTATOR_2026-07-31T19_55_33_452Z_data_export/data_ANN_export_anotations/ANN_Documents/BnF_075_026_GT_moderno.txt,raw/evaluacion_modernizador/modernisation_reviewer_4_packet/BnF_075_026/BnF_075_026_GT.txt,82,18,13,6,True
Llama 3.3 70B · 12 000 TPM,BnF_075_026,bnf_075,Arturo,5285,y,y,Cambios,Sustitución,559,560,"…castigando a los sobre dichos y que sean desterrados de este dicho pueblo perpetuamente, [[y]] sabe y tiene entendido esto, que si no se castiga a los sobre dichos, no habrá conformida…",intermediate/extracted_exports/reviewer_packet_4/01_ANNOTATOR_2026-07-31T19_55_33_452Z_data_export/data_ANN_export_anotations/ANN_Documents/BnF_075_026_GT_moderno.txt,raw/evaluacion_modernizador/modernisation_reviewer_4_packet/BnF_075_026/BnF_075_026_GT.txt,82,18,13,6,True
Llama 3.3 70B · 12 000 TPM,BnF_075_035,bnf_075,Arturo,5303,y,y,Cambios,Sustitución,148,149,"…an Francisco, Castilblanco. En ocho días del mes de septiembre de mil seiscientos sesenta [[y]] cuatro años, yo, Diego de Baeza, escriano del juzgado del señor corregidor, doy fe que en…",intermediate/extracted_exports/reviewer_packet_4/01_ANNOTATOR_2026-07-31T19_55_33_452Z_data_export/data_ANN_export_anotations/ANN_Documents/BnF_075_035_GT_moderno.txt,raw/evaluacion_modernizador/modernisation_reviewer_4_packet/BnF_075_035/BnF_075_035_GT.txt,82,18,13,6,True
Llama 3.3 70B · 12 000 TPM,BnF_075_035,bnf_075,Arturo,5304,y,y,Cambios,Sustitución,332,333,"…mplimiento del auto proveído atrás por su merced, salí a las calles de este dicho pueblo, [[y]] por voz de Francisco Pelayo, indio del pueblo de San Juan Iztacuimastitlan, a altas y ent…",intermediate/extracted_exports/reviewer_packet_4/01_ANNOTATOR_2026-07-31T19_55_33_452Z_data_export/data_ANN_export_anotations/ANN_Documents/BnF_075_035_GT_moderno.txt,raw/evaluacion_modernizador/modernisation_reviewer_4_packet/BnF_075_035/BnF_075_035_GT.txt,82,18,13,6,True
Llama 3.3 70B · 12 000 TPM,BnF_075_035,bnf_075,Arturo,5306,y,y,Cambios,Sustitución,591,592,"…lo contenido en el dicho auto, en su lengua, declarando que pareciesen todos los vecinos [[y]] moradores de este dicho pueblo hoy y mañana sábado en todo el ante el dicho señor corregi…",intermediate/extracted_exports/reviewer_packet_4/01_ANNOTATOR_2026-07-31T19_55_33_452Z_data_export/data_ANN_export_anotations/ANN_Documents/BnF_075_035_GT_moderno.txt,raw/evaluacion_modernizador/modernisation_reviewer_4_packet/BnF_075_035/BnF_075_035_GT.txt,82,18,13,6,True
Llama 3.3 70B · 12 000 TPM,BnF_075_035,bnf_075,Arturo,5307,y,y,Cambios,Sustitución,628,629,"…lengua, declarando que pareciesen todos los vecinos y moradores de este dicho pueblo hoy [[y]] mañana sábado en todo el ante el dicho señor corregidor, y no tuviesen temor para les dar…",intermediate/extracted_exports/reviewer_packet_4/01_ANNOTATOR_2026-07-31T19_55_33_452Z_data_export/data_ANN_export_anotations/ANN_Documents/BnF_075_035_GT_moderno.txt,raw/evaluacion_modernizador/modernisation_reviewer_4_packet/BnF_075_035/BnF_075_035_GT.txt,82,18,13,6,True
