annotated_form_rank,model,normalised_annotated_text,distinct_annotations,affected_documents,affected_archives,affected_reviewers,example_surface_forms,example_documents,archives,reviewers,most_common_error_category,most_common_subrule,most_common_rule_assignments,all_rule_assignments,cross_context_prompt_candidate,display_label
1,Llama 3.3 70B · 12 000 TPM,y,135,20,13,6,y | Y,AGN_HospJesus_c474_leg267-2_exp024_7473-7537_02 | BnF_117_13 | LoC_HPKraus_146_new_13 | BnF_032_33 | BnF_075_003,agn_hospjesus | bnf_117 | loc_hpkraus | bnf_032 | bnf_075,Paco | Adriana | Arturo | Paloma | Flor,Cambios,Sustitución,82,"Cambios — Sustitución | Cambios — No sub-rule assigned | Cambios — Inserción | Cambios — Deleción | Cambios — Otros | Puntuación — Coma (,)",True,y
2,Llama 3.3 70B · 12 000 TPM,po,76,9,6,6,Po | po,BP_CM_R494_156_2 | BnF_267_03 | BnF_267_23 | BnF_032_23 | BnF_117_03,bp_cm | bnf_267 | bnf_032 | bnf_117 | bnf_110,Javier | Paco | Arturo | Alba | Paloma,Abreviaturas,Expansión completa,75,Abreviaturas — Expansión completa | Abreviaturas — No sub-rule assigned,True,po
3,Llama 3.3 70B · 12 000 TPM,to,71,4,3,2,to,BnF_267_03 | BnF_267_23 | AGN_HospJesus_c205_exp041_04 | BnF_111_21,bnf_267 | agn_hospjesus | bnf_111,Paco | Flor,Abreviaturas,Expansión completa,71,Abreviaturas — Expansión completa,True,to
4,GPT OSS 120B · 8 000 TPM,dho,54,13,10,9,dho,AGN_AHHacienda_v1292_exp135 | BNE_ms3047_4 | BnF_032_36 | AGN_AHHacienda_v268_exp046_01 | BnF_112_02,agn_ahhacienda | bne_ms3047 | bnf_032 | bnf_112 | agi_patronato,Javier | Paco | Adriana | Arturo | Edna,Abreviaturas,Expansión completa,32,Abreviaturas — Expansión completa | Abreviaturas — No sub-rule assigned | Filológicas - mecánicas — Regularización de sibilantes | Filológicas - instrucciones — x sibilante → j,True,dho
5,GPT OSS 120B · 8 000 TPM,q,54,8,7,6,q,BnF_032_36 | BnF_113_04 | BnF_112_23 | AGN_Indios_v019_exp354_2 | AGN_Mercedes_v003_exp520,bnf_032 | bnf_113 | bnf_112 | agn_indios | agn_mercedes,Paco | Edna | Alba | Paloma | Flor,Abreviaturas,Expansión completa,40,Abreviaturas — Expansión completa | Abreviaturas — No sub-rule assigned | Filológicas - instrucciones — Regularización de H etimológica | Filológicas - instrucciones — x sibilante → j,True,q
6,GPT OSS 120B · 8 000 TPM,y,50,7,6,3,y | Y,BNE_ms3047_4 | BnF_104_2 | BnF_116_02 | AGI_INDIFERENTE_2065_N45_09 | AGN_GralParte_v006_exp617_01,bne_ms3047 | bnf_104 | bnf_116 | agi_indiferente | agn_gralparte,Javier | Paco | Rodrigo,Cambios,Sustitución,32,Cambios — Sustitución | Filológicas - instrucciones — Regularización de i/y vocálicas | Cambios — Otros | Cambios — No sub-rule assigned | Puntuación — Punto (.),True,y
7,GPT OSS 120B · 8 000 TPM,franco,35,17,13,8,Franco | franco,BNE_ms3047_4 | AGI_PATRONATO_182_R3_04 | BnF_032_36 | BnF_104_2 | BnF_112_25,bne_ms3047 | agi_patronato | bnf_032 | bnf_104 | bnf_112,Javier | Paco | Adriana | Arturo | Edna,Abreviaturas,Expansión completa,28,Abreviaturas — Expansión completa | Cambios — Otros | Abreviaturas — No sub-rule assigned | Filológicas - instrucciones — Regularización de labiales (b/v) | Filológicas - mecánicas — Simplificación de grupos consonánticos | Puntuación — Punto (.),True,franco
8,GPT OSS 120B · 8 000 TPM,dha,34,15,11,9,dha,AGN_AHHacienda_v1292_exp135 | AGI_PATRONATO_182_R3_04 | BnF_032_36 | AGN_AHHacienda_v268_exp046_01 | BnF_112_02,agn_ahhacienda | agi_patronato | bnf_032 | bnf_112 | bnf_030,Javier | Paco | Adriana | Arturo | Edna,Abreviaturas,Expansión completa,25,Abreviaturas — Expansión completa | Abreviaturas — No sub-rule assigned | Filológicas - mecánicas — Simplificación de grupos consonánticos,True,dha
9,Llama 3.3 70B · 12 000 TPM,franco,34,15,13,5,franco | Franco,AGI_CONTRATACION_1089_N8_151 | AGN_HospJesus_c474_leg267-2_exp024_7473-7537_02 | AGN_Marina_v031A_exp02_fs85-92_15 | BnF_030_22 | BnF_117_13,agi_contratacion | agn_hospjesus | agn_marina | bnf_030 | bnf_117,Paco | Arturo | Paloma | Flor | Rodrigo,Abreviaturas,Expansión completa,27,Abreviaturas — Expansión completa | Abreviaturas — No sub-rule assigned | Filológicas - instrucciones — Regularización de H etimológica,True,franco
10,Llama 3.3 70B · 12 000 TPM,que,29,15,13,6,que | Que,BnF_030_22 | UIA_Ms149_Exp3_43 | utblac_gg_mss_g62_duplicated_15 | AGN_AHHacienda_v268_exp046_03 | BP_CM_R481_016,bnf_030 | uia_ms149 | utblac_gg | agn_ahhacienda | bp_cm,Paco | Arturo | Edna | Paloma | Flor,Cambios,Inserción,18,"Cambios — Inserción | Acentuación — No sub-rule assigned | Cambios — Sustitución | Cambios — Deleción | Puntuación — Coma (,)",True,que
