annotation_rate_rank,filename_stem,model,archive,reviewer_packet,reviewer_name,n_modernised_tokens,n_included_annotations,n_included_assignments,included_annotations_per_1000_tokens,dominant_error_category,dominant_subrule,document_family,reviewed_documents_in_family,repeated_document_family,high_annotation_count,high_annotation_rate,selected_for_review,selection_reason
1,BnF_267_23,Llama 3.3 70B · 12 000 TPM,bnf_267,2,Paco,226,83,85,367.2566371681416,Abreviaturas,Abreviaturas — Expansión completa,BnF_267_23,1,False,True,True,True,highest 10% by count and rate
2,BnF_267_03,Llama 3.3 70B · 12 000 TPM,bnf_267,2,Paco,227,79,79,348.01762114537445,Abreviaturas,Abreviaturas — Expansión completa,BnF_267_03,1,False,True,True,True,highest 10% by count and rate
3,BnF_032_15,GPT OSS 120B · 8 000 TPM,bnf_032,8,Flor,12,4,5,333.3333333333333,Abreviaturas,Abreviaturas — Expansión completa,BnF_032_15,1,False,False,True,True,highest 10% by rate
4,BnF_032_36,GPT OSS 120B · 8 000 TPM,bnf_032,2,Paco,303,99,105,326.7326732673268,Abreviaturas,Abreviaturas — Expansión completa,BnF_032_36,1,False,True,True,True,highest 10% by count and rate
5,AGN_GralParte_v006_exp617_01,GPT OSS 120B · 8 000 TPM,agn_gralparte,9,Rodrigo,459,141,168,307.18954248366015,Cambios,Cambios — Otros,AGN_GralParte_v006_exp617_01,1,False,True,True,True,highest 10% by count and rate
6,AGN_Inquisicion_v1570A_exp134_fs159-160v_04,GPT OSS 120B · 8 000 TPM,agn_inquisicion,8,Flor,10,3,3,300.0,Abreviaturas,Abreviaturas — No sub-rule assigned,AGN_Inquisicion_v1570A_exp134_fs159-160v_04,1,False,False,True,True,highest 10% by rate
7,BnF_112_02,GPT OSS 120B · 8 000 TPM,bnf_112,4,Arturo,290,86,108,296.551724137931,Abreviaturas,Abreviaturas — Expansión completa,BnF_112_02,1,False,True,True,True,highest 10% by count and rate
8,BnF_113_22,GPT OSS 120B · 8 000 TPM,bnf_113,7,Paloma,350,88,94,251.42857142857144,Filológicas - instrucciones,Filológicas - mecánicas — Regularización de sibilantes,BnF_113_22,1,False,True,True,True,highest 10% by count and rate
9,AGI_INDIFERENTE_2065_N45_09,GPT OSS 120B · 8 000 TPM,agi_indiferente,9,Rodrigo,191,46,52,240.83769633507853,Cambios,Cambios — Sustitución,AGI_INDIFERENTE_2065_N45_09,1,False,False,True,True,highest 10% by rate
10,AGN_Mercedes_v003_exp520,GPT OSS 120B · 8 000 TPM,agn_mercedes,6,Alba,455,109,122,239.5604395604396,Abreviaturas,Acentuación — No sub-rule assigned,AGN_Mercedes_v003_exp520,1,False,True,True,True,highest 10% by count and rate
11,BnF_112_04,GPT OSS 120B · 8 000 TPM,bnf_112,7,Paloma,277,66,72,238.26714801444044,Filológicas - instrucciones,Puntuación — Punto (.),BnF_112_04,1,False,True,True,True,highest 10% by count and rate
12,BnF_111_20,GPT OSS 120B · 8 000 TPM,bnf_111,8,Flor,459,109,115,237.4727668845316,Filológicas - instrucciones,Abreviaturas — Expansión completa,BnF_111_20,1,False,True,True,True,highest 10% by count and rate
13,BnF_075_026,Llama 3.3 70B · 12 000 TPM,bnf_075,4,Arturo,202,46,50,227.72277227722773,Cambios,Cambios — No sub-rule assigned,BnF_075_026,1,False,False,True,True,highest 10% by rate
14,AGI_CONTRATACION_1183_N8_78,GPT OSS 120B · 8 000 TPM,agi_contratacion,3,Adriana,137,30,30,218.97810218978103,Filológicas - instrucciones,Filológicas - instrucciones — x sibilante → j,AGI_CONTRATACION_1183_N8_78,1,False,False,True,True,highest 10% by rate
15,AGN_AHHacienda_v268_exp046_01,GPT OSS 120B · 8 000 TPM,agn_ahhacienda,3,Adriana,172,36,36,209.30232558139537,Abreviaturas,Abreviaturas — Expansión completa,AGN_AHHacienda_v268_exp046_01,1,False,False,True,True,highest 10% by rate
16,BnF_104_2,GPT OSS 120B · 8 000 TPM,bnf_104,2,Paco,328,68,88,207.3170731707317,Cambios,Cambios — Sustitución,BnF_104_2,1,False,True,True,True,highest 10% by count and rate
17,BNE_ms3047_1,GPT OSS 120B · 8 000 TPM,bne_ms3047,9,Rodrigo,513,103,113,200.77972709551656,Cambios,Abreviaturas — Expansión completa,BNE_ms3047_1,1,False,True,True,True,highest 10% by count and rate
18,BnF_112_23,GPT OSS 120B · 8 000 TPM,bnf_112,5,Edna,390,77,81,197.43589743589743,Filológicas - instrucciones,Abreviaturas — No sub-rule assigned,BnF_112_23,1,False,True,True,True,highest 10% by count and rate
19,AGI_PATRONATO_182_R3_01,GPT OSS 120B · 8 000 TPM,agi_patronato,6,Alba,293,57,66,194.5392491467577,Abreviaturas,Abreviaturas — Expansión completa,AGI_PATRONATO_182_R3_01,1,False,False,False,False,not selected
20,AGI_INDIFERENTE_1529_N36_07,Llama 3.3 70B · 12 000 TPM,agi_indiferente,9,Rodrigo,327,62,75,189.6024464831804,Cambios,Cambios — Otros,AGI_INDIFERENTE_1529_N36_07,1,False,False,False,False,not selected
21,Mechoacan_Yurirapundaro_2,Llama 3.3 70B · 12 000 TPM,mechoacan_yurirapundaro,4,Arturo,54,10,12,185.1851851851852,Cambios | Puntuación,Cambios — No sub-rule assigned | Puntuación — No sub-rule assigned | Puntuación — Punto (.),Mechoacan_Yurirapundaro_2,1,False,False,False,False,not selected
22,AGN_RealesCedDup_v050_exp062,GPT OSS 120B · 8 000 TPM,agn_realesceddup,7,Paloma,262,48,60,183.206106870229,Abreviaturas,Abreviaturas — Expansión completa,AGN_RealesCedDup_v050_exp062,1,False,False,False,False,not selected
23,AGI_PATRONATO_182_R3_04,GPT OSS 120B · 8 000 TPM,agi_patronato,2,Paco,223,40,48,179.37219730941703,Abreviaturas,Abreviaturas — Expansión completa,AGI_PATRONATO_182_R3_04,1,False,False,False,False,not selected
24,BnF_118_08,Llama 3.3 70B · 12 000 TPM,bnf_118,4,Arturo,268,48,49,179.1044776119403,Cambios,Cambios — Sustitución,BnF_118_08,1,False,False,False,False,not selected
25,BnF_075_003,Llama 3.3 70B · 12 000 TPM,bnf_075,3,Adriana,289,50,51,173.01038062283737,Cambios,Cambios — No sub-rule assigned,BnF_075_003,1,False,False,False,False,not selected
26,BnF_113_04,GPT OSS 120B · 8 000 TPM,bnf_113,2,Paco,310,51,62,164.51612903225808,Abreviaturas,Abreviaturas — Expansión completa,BnF_113_04,1,False,False,False,False,not selected
27,BnF_075_035,Llama 3.3 70B · 12 000 TPM,bnf_075,4,Arturo,219,36,41,164.3835616438356,Cambios,Cambios — Sustitución,BnF_075_035,1,False,False,False,False,not selected
28,AGI_CONTRATACION_1089_N8_151,Llama 3.3 70B · 12 000 TPM,agi_contratacion,2,Paco,304,48,50,157.89473684210526,Abreviaturas,Abreviaturas — Expansión completa,AGI_CONTRATACION_1089_N8_151,1,False,False,False,False,not selected
29,AGS_CE_RG_L379_01,GPT OSS 120B · 8 000 TPM,ags_ce,1,Javier,83,13,16,156.6265060240964,Cambios,Cambios — Sustitución,AGS_CE_RG_L379_01,1,False,False,False,False,not selected
30,BnF_112_25,GPT OSS 120B · 8 000 TPM,bnf_112,2,Paco,269,42,53,156.13382899628252,Cambios,Abreviaturas — Expansión completa,BnF_112_25,1,False,False,False,False,not selected
31,AGN_Indios_v019_exp354_2,GPT OSS 120B · 8 000 TPM,agn_indios,6,Alba,559,87,90,155.6350626118068,Abreviaturas,Abreviaturas — Expansión completa,AGN_Indios_v019_exp354_2,1,False,True,False,True,highest 10% by count
32,AGN_HospJesus_c205_exp041_04,Llama 3.3 70B · 12 000 TPM,agn_hospjesus,8,Flor,142,22,22,154.9295774647887,Cambios,Cambios — Otros,AGN_HospJesus_c205_exp041_04,1,False,False,False,False,not selected
33,BnF_030_27,GPT OSS 120B · 8 000 TPM,bnf_030,9,Rodrigo,278,43,53,154.67625899280577,Cambios,Cambios — Sustitución,BnF_030_27,1,False,False,False,False,not selected
34,AGN_Indios_v009_exp003_fs4v-5_01,GPT OSS 120B · 8 000 TPM,agn_indios,4,Arturo,272,42,46,154.41176470588235,Cambios,Puntuación — No sub-rule assigned,AGN_Indios_v009_exp003_fs4v-5_01,1,False,False,False,False,not selected
35,BnF_032_23,Llama 3.3 70B · 12 000 TPM,bnf_032,4,Arturo,648,100,103,154.320987654321,Puntuación,"Puntuación — Coma (,)",BnF_032_23,1,False,True,False,True,highest 10% by count
36,UIA_Ms149_Exp2_51,Llama 3.3 70B · 12 000 TPM,uia_ms149,4,Arturo,391,58,66,148.33759590792835,Cambios,Cambios — Sustitución,UIA_Ms149_Exp2_51,1,False,False,False,False,not selected
37,BnF_118_02,Llama 3.3 70B · 12 000 TPM,bnf_118,9,Rodrigo,27,4,4,148.14814814814815,Abreviaturas,Abreviaturas — Expansión completa,BnF_118_02,1,False,False,False,False,not selected
38,AGN_RealesCedDup_v030_exp874,GPT OSS 120B · 8 000 TPM,agn_realesceddup,6,Alba,644,95,105,147.51552795031057,Abreviaturas,Abreviaturas — No sub-rule assigned,AGN_RealesCedDup_v030_exp874,1,False,True,False,True,highest 10% by count
39,AGN_Tierras_v039-2_exp003_72,GPT OSS 120B · 8 000 TPM,agn_tierras,5,Edna,177,26,41,146.89265536723164,Abreviaturas,Cambios — Sustitución,AGN_Tierras_v039-2_exp003_72,1,False,False,False,False,not selected
40,BnF_116_02,GPT OSS 120B · 8 000 TPM,bnf_116,2,Paco,273,38,49,139.1941391941392,Abreviaturas,Abreviaturas — Expansión completa,BnF_116_02,1,False,False,False,False,not selected
41,BnF_174_03,Llama 3.3 70B · 12 000 TPM,bnf_174,4,Arturo,701,96,104,136.9472182596291,Puntuación,"Puntuación — Coma (,)",BnF_174_03,1,False,True,False,True,highest 10% by count
42,BnF_112_08,Llama 3.3 70B · 12 000 TPM,bnf_112,7,Paloma,309,41,45,132.68608414239483,Cambios,Cambios — Sustitución,BnF_112_08,1,False,False,False,False,not selected
43,AGN_GralParte_v001_exp1020_02,Llama 3.3 70B · 12 000 TPM,agn_gralparte,5,Edna,38,5,9,131.57894736842104,Abreviaturas,Abreviaturas — No sub-rule assigned,AGN_GralParte_v001_exp1020_02,1,False,False,False,False,not selected
44,AGN_IndiferenteVirreinal_caja4071_exp024_2,GPT OSS 120B · 8 000 TPM,agn_indiferentevirreinal,7,Paloma,137,18,23,131.38686131386862,Abreviaturas,Abreviaturas — Expansión completa,AGN_IndiferenteVirreinal_caja4071_exp024_2,1,False,False,False,False,not selected
45,AMP_AC_v021__doc026_1,GPT OSS 120B · 8 000 TPM,amp_ac,9,Rodrigo,188,24,34,127.6595744680851,Cambios,"Abreviaturas — Expansión completa | Cambios — Sustitución | Puntuación — Coma (,)",AMP_AC_v021__doc026_1,1,False,False,False,False,not selected
46,BP_CM_R481_071_3,Llama 3.3 70B · 12 000 TPM,bp_cm,1,Javier,47,6,7,127.6595744680851,Cambios,Cambios — Sustitución,BP_CM_R481_071_3,1,False,False,False,False,not selected
47,AGN_AHHacienda_v1292_exp135,GPT OSS 120B · 8 000 TPM,agn_ahhacienda,1,Javier,411,52,54,126.52068126520682,Abreviaturas,Abreviaturas — Expansión completa,AGN_AHHacienda_v1292_exp135,1,False,False,False,False,not selected
48,BnF_113_43,Llama 3.3 70B · 12 000 TPM,bnf_113,7,Paloma,176,22,22,125.0,Cambios,Cambios — Sustitución,BnF_113_43,1,False,False,False,False,not selected
49,AGN_HospJesus_c474_leg267-2_exp024_7473-7537_10,Llama 3.3 70B · 12 000 TPM,agn_hospjesus,4,Arturo,285,35,35,122.80701754385964,Cambios,Cambios — Sustitución,AGN_HospJesus_c474_leg267-2_exp024_7473-7537_10,1,False,False,False,False,not selected
50,BnF_117_13,Llama 3.3 70B · 12 000 TPM,bnf_117,2,Paco,148,18,22,121.62162162162164,Cambios,Cambios — Sustitución,BnF_117_13,1,False,False,False,False,not selected
51,LoC_HPKraus_146_new_13,Llama 3.3 70B · 12 000 TPM,loc_hpkraus,2,Paco,148,18,18,121.62162162162164,Cambios,Cambios — Sustitución,LoC_HPKraus_146_new_13,1,False,False,False,False,not selected
52,BnF_032_33,Llama 3.3 70B · 12 000 TPM,bnf_032,3,Adriana,354,42,51,118.64406779661016,Cambios,Cambios — Sustitución,BnF_032_33,1,False,False,False,False,not selected
53,BnF_116_08,Llama 3.3 70B · 12 000 TPM,bnf_116,3,Adriana,43,5,6,116.27906976744184,Cambios,Cambios — Sustitución,BnF_116_08,1,False,False,False,False,not selected
54,AGN_AHHacienda_v268_exp046_03,Llama 3.3 70B · 12 000 TPM,agn_ahhacienda,4,Arturo,181,21,22,116.0220994475138,Puntuación,Puntuación — No sub-rule assigned,AGN_AHHacienda_v268_exp046_03,1,False,False,False,False,not selected
55,BNE_ms3047_4,GPT OSS 120B · 8 000 TPM,bne_ms3047,1,Javier,485,56,56,115.4639175257732,Abreviaturas,Abreviaturas — Expansión completa,BNE_ms3047_4,1,False,False,False,False,not selected
56,AGN_Marina_v004_exp006_014,GPT OSS 120B · 8 000 TPM,agn_marina,1,Javier,70,8,9,114.28571428571428,Acentuación,Acentuación — No sub-rule assigned,AGN_Marina_v004_exp006_014,1,False,False,False,False,not selected
57,BnF_266_05,Llama 3.3 70B · 12 000 TPM,bnf_266,3,Adriana,884,100,192,113.12217194570135,Cambios,Cambios — Sustitución,BnF_266_05,1,False,True,False,True,highest 10% by count
58,BnF_243_16,Llama 3.3 70B · 12 000 TPM,bnf_243,9,Rodrigo,417,47,56,112.70983213429255,Abreviaturas,Abreviaturas — Expansión completa,BnF_243_16,1,False,False,False,False,not selected
59,BnF_118_03,Llama 3.3 70B · 12 000 TPM,bnf_118,7,Paloma,318,34,34,106.9182389937107,Cambios,Cambios — Deleción,BnF_118_03,1,False,False,False,False,not selected
60,BnF_243_12,Llama 3.3 70B · 12 000 TPM,bnf_243,4,Arturo,77,8,10,103.89610389610392,Puntuación,"Puntuación — Coma (,)",BnF_243_12,1,False,False,False,False,not selected
61,AGN_GralParte_v006_exp617_02,Llama 3.3 70B · 12 000 TPM,agn_gralparte,9,Rodrigo,446,46,54,103.1390134529148,Cambios,Abreviaturas — Expansión completa,AGN_GralParte_v006_exp617_02,1,False,False,False,False,not selected
